"Number","Name","Nat","Pos","Height","Weight","Date.of.Birth","Birth.Place","Previous.Club","Team","League","lat","long"
11,"Denis Cheryshev","RUS","M",1.79,74,"26-12-90","Nizhny Novgorod","Villarreal","Valencia","Spain",56.328571,44.003506
12,"Mouctar Diakhaby","FRA","D",1.89,78,"19-12-96","Vendôme","Lyon","Valencia","Spain",47.7934453,1.0662256
13,"Jasper Cillessen","NED","G",1.85,83,"22-04-89","Groesbeek","Barcelona","Valencia","Spain",51.7759402,5.93963742580844
14,"José Luis Gayà","ESP","D",1.72,66,"25-05-95","Pedreguer","Valencia B","Valencia","Spain",38.7938437,0.0343336
15,"Manu Vallejo","ESP","F",1.67,62,"14-02-97","Chiclana de la Frontera","Cádiz","Valencia","Spain",36.4191096,-6.1460683
16,"Lee Kang-In","KOR","M",1.73,61,"19-02-01","Incheon","Valencia B","Valencia","Spain",37.456,126.7052
17,"Francis Coquelin","FRA","M",1.78,74,"13-05-91","Laval","Arsenal","Valencia","Spain",48.0710377,-0.7723499
18,"Daniel Wass","DEN","M",1.81,74,"31-05-89","Gladsaxe","Celta Vigo","Valencia","Spain",55.7383794,12.4696107
19,"Rodrigo Moreno","ESP","F",1.82,77,"06-03-91","Rio de Janeiro","Benfica","Valencia","Spain",-22.9110137,-43.2093727
20,"Ferrán Torres","ESP","M",1.84,77,"29-02-00","Foios","Valencia B","Valencia","Spain",39.5381541,-0.3561396
21,"Cristiano Piccini","ITA","D",1.83,77,"26-09-92","Florence","Sporting CP","Valencia","Spain",43.7698712,11.2555757
22,"Maximiliano Gómez","URU","F",1.86,91,"14-08-96","Paysandú","Celta Vigo","Valencia","Spain",-32.3217257,-58.0892136
23,"Rubén Sobrino","ESP","F",1.85,73,"01-06-92","Daimiel","Alavés","Valencia","Spain",39.072196,-3.6143611
24,"Ezequiel Garay","ARG","D",1.89,90,"10-10-86","Rosario","Zenit St Petersburg","Valencia","Spain",-32.9595004,-60.6615415
25,"Alessandro Florenzi","ITA","D",1.73,66,"11-03-91","Rome","Roma","Valencia","Spain",41.8933203,12.4829321
26,"Pascu","ESP","M",NA,NA,"02-04-00","Santa Pola","Valencia B","Valencia","Spain",38.1924252,-0.5556711
27,"Koba Koindredi","FRA","M",NA,NA,"27-10-01","Païta","Valencia B","Valencia","Spain",-22.1311499,166.3678601
28,"Cristian Rivero","ESP","G",1.88,75,"21-03-98","Gandia","Valencia B","Valencia","Spain",38.9675925,-0.1803423
29,"Jordi Escobar","ESP","F",NA,NA,"10-02-02","Sant Cebrià de Villalta","Valencia B","Valencia","Spain",NA,NA
30,"Yunus Musah","ENG","M",NA,NA,"29-11-02","New York","Arsenal","Valencia","Spain",40.7127281,-74.0060152
31,"","","",NA,NA,"","","","Valencia","Spain",NA,NA
32,"Javi Jiménez","ESP","D",1.82,74,"11-03-97","Aldaia","Valencia B","Valencia","Spain",39.4648111,-0.4607554
33,"Hugo Guillamón","ESP","D",1.76,62,"31-01-00","L'Eliana","Valencia B","Valencia","Spain",39.5659086,-0.5302784
34,"Vicente Esquerdo","ESP","M",1.82,75,"02-01-99","Calp","Valencia B","Valencia","Spain",38.6447979,0.0454139
35,"","","",NA,NA,"","","","Valencia","Spain",NA,NA
36,"Emilio Bernad","ESP","G",1.83,69,"22-09-99","La Vall d'Uixó","Valencia B","Valencia","Spain",39.8235837,-0.2316995
37,"Guillem Gutiérrez","ESP","D",1.83,71,"03-05-00","Valls","Valencia B","Valencia","Spain",41.2835355,1.2473637
38,"Pablo Gozálbez","ESP","M",NA,NA,"30-04-01","Valencia","Valencia B","Valencia","Spain",39.4699014,-0.3759513
39,"","","",NA,NA,"","","","Valencia","Spain",NA,NA
40,"","","",NA,NA,"","","","Valencia","Spain",NA,NA
1,"Jordi Masip","ESP","G",1.8,72,"03-01-89","Sabadell","Barcelona","Valladolid","Spain",41.5421013,2.1138977
2,"Pedro Porro","ESP","D",1.76,71,"13-09-99","Don Benito","Manchester C","Valladolid","Spain",38.9540269,-5.8619466
3,"Hatem Ben Arfa","FRA","M",1.78,65,"07-03-87","Clamart","Rennes","Valladolid","Spain",48.800368,2.2630292
4,"Kiko","ESP","D",1.89,83,"21-08-88","Málaga","Girona","Valladolid","Spain",36.7213028,-4.4216366
5,"Javi Sánchez","ESP","D",1.86,71,"14-03-97","Getafe","Real Madrid B","Valladolid","Spain",40.3081807,-3.7302679
6,"Raúl García","ESP","D",1.75,72,"30-04-89","La Coruña","Getafe","Valladolid","Spain",43.3712091,-8.3958768
7,"Sergi Guardiola","ESP","M",1.8,77,"29-05-91","Manacor","Córdoba","Valladolid","Spain",39.5696458,3.2106461
8,"Matheus Fernandes","BRA","M",1.83,67,"30-06-98","Itaboraí","Palmeiras","Valladolid","Spain",-22.7496231,-42.8557428
9,"Enes Ünal","TUR","F",1.85,75,"10-05-97","Bursa","Villarreal","Valladolid","Spain",40.182737,29.0678352
10,"Óscar Plano","ESP","M",1.8,68,"11-02-91","Móstoles","Alcorcón","Valladolid","Spain",40.3238525,-3.8649214
11,"Pablo Hervías","ESP","M",1.74,68,"08-03-93","Logroño","Eibar","Valladolid","Spain",42.4661196,-2.4396676
12,"","","",NA,NA,"","","","Valladolid","Spain",NA,NA
13,"José Antonio Caro","ESP","G",1.84,73,"03-05-94","La Palma del Condado","Sevilla B","Valladolid","Spain",37.3841757,-6.5517596
14,"Rubén Alcaraz","ESP","M",1.8,70,"01-05-91","Barcelona","Girona","Valladolid","Spain",41.3828939,2.1774322
15,"","","",NA,NA,"","","","Valladolid","Spain",NA,NA
16,"Fede","ESP","M",1.74,68,"16-03-97","Torrelavega","Sevilla B","Valladolid","Spain",43.3487303,-4.0515082
17,"Javi Moyano","ESP","D",1.77,69,"23-02-86","Jaén","Tenerife","Valladolid","Spain",37.9557275,-3.49205561203722
18,"Antoñito","ESP","D",1.73,65,"24-12-87","Herrera","Córdoba","Valladolid","Spain",37.3653148,-4.8502348
19,"Toni Villa","ESP","M",1.71,61,"07-01-95","Murcia","Valladolid B","Valladolid","Spain",37.9923795,-1.1305431
20,"Sandro Ramírez","ESP","F",1.72,60,"09-07-95","Las Palmas","Everton","Valladolid","Spain",28.128874,-15.4349448
21,"Míchel","ESP","M",1.81,69,"29-07-88","Valencia","Guangzhou R&F","Valladolid","Spain",39.4699014,-0.3759513
22,"Nacho Martínez","ESP","D",1.75,76,"07-03-89","Madrid","Rayo Vallecano","Valladolid","Spain",40.4167047,-3.7035825
23,"Waldo Rubio","ESP","F",1.81,70,"17-08-95","Badajoz","Córdoba B","Valladolid","Spain",38.8780585,-6.9702048
24,"Joaquín","ESP","D",1.9,66,"31-05-96","Huercal de Almería","Almería","Valladolid","Spain",36.8836087,-2.4398613
25,"","","",NA,NA,"","","","Valladolid","Spain",NA,NA
26,"Samu Pérez","ESP","G",1.85,82,"26-04-97","Tegueste","Sevilla B","Valladolid","Spain",28.5232609,-16.3407638
27,"Mohammed Salisu","GHA","D",NA,NA,"17-04-99","","Valladolid B","Valladolid","Spain",NA,NA
28,"Kike Pérez","ESP","M",1.84,80,"14-02-97","Gálvez","Lugo","Valladolid","Spain",39.7005585,-4.2737085
29,"Miguel De La Fuente","ESP","F",NA,NA,"03-09-99","Tudela de Duero","Valladolid B","Valladolid","Spain",41.5846943,-4.5802535
30,"Diego Alende","ESP","D",NA,NA,"25-08-97","Santiago de Compostela","Celta Vigo B","Valladolid","Spain",42.8804219,-8.5458608
31,"Stiven Plaza","ECU","F",1.88,80,"11-03-99","Eloy Alfaro","Independiente del Valle","Valladolid","Spain",0.874044,-78.9950332281882
32,"Kuki Zalazar","ESP","F",1.76,73,"05-05-98","Montevideo","Málaga B","Valladolid","Spain",-34.9059039,-56.1913569
33,"","","",NA,NA,"","","","Valladolid","Spain",NA,NA
34,"Roberto Corral","ESP","D",NA,NA,"14-09-97","Valladolid","Valladolid B","Valladolid","Spain",41.6521328,-4.728562
35,"Víctor García","ESP","F",NA,NA,"01-01-97","Valencia","Deportivo La Coruña B","Valladolid","Spain",39.4699014,-0.3759513
36,"Apa","ESP","D",NA,NA,"08-03-00","Palencia","Valladolid B","Valladolid","Spain",42.4096322,-4.61610041029307
37,"Jaime Sánchez","ESP","D",1.83,75,"11-03-95","Chiclana de la Frontera","Real Madrid B","Valladolid","Spain",36.4191096,-6.1460683
38,"","","",NA,NA,"","","","Valladolid","Spain",NA,NA
39,"","","",NA,NA,"","","","Valladolid","Spain",NA,NA
40,"","","",NA,NA,"","","","Valladolid","Spain",NA,NA
1,"Sergio Asenjo","ESP","G",1.89,87,"28-06-89","Palencia","Atlético Madrid","Villarreal","Spain",42.4096322,-4.61610041029307
2,"Mario","ESP","D",1.82,74,"24-11-90","Novelda","Villarreal B","Villarreal","Spain",38.3842144,-0.7674146
3,"Raúl Albiol","ESP","D",1.9,82,"04-09-85","Vilamarxant","Napoli","Villarreal","Spain",39.5680723,-0.6227531
4,"Pau Francisco","ESP","D",1.91,80,"16-01-97","Villarreal","Villarreal B","Villarreal","Spain",10.3065364,-85.8035409
5,"","","",NA,NA,"","","","Villarreal","Spain",NA,NA
6,"Ramiro Funes Mori","ARG","D",1.86,74,"03-05-91","Mendoza","Everton","Villarreal","Spain",-34.78719615,-68.4380712382687
7,"Gerard Moreno","ESP","F",1.8,75,"07-04-92","Santa Coloma de Gramenet","Espanyol","Villarreal","Spain",41.4515626,2.2083371
8,"Santi Cazorla","ESP","M",1.68,66,"13-12-84","Lugo de Llanera","Arsenal","Villarreal","Spain",43.4430551,-5.8173854
9,"Carlos Bacca","COL","F",1.81,77,"08-09-86","Puerto Colombia","Milan","Villarreal","Spain",10.9965589,-74.9162475334152
10,"Vicente Iborra","ESP","M",1.9,76,"16-01-88","Moncada","Leicester C","Villarreal","Spain",39.5450484,-0.3941015
11,"Samuel Chukwueze","NGA","F",1.72,70,"22-05-99","Ugba","Diamond Football Academy","Villarreal","Spain",7.116667,8.683333
12,"","","",NA,NA,"","","","Villarreal","Spain",NA,NA
13,"Andrés Fernández","ESP","G",1.85,82,"17-12-86","Murcia","FC Porto","Villarreal","Spain",37.9923795,-1.1305431
14,"Manu Trigueros","ESP","M",1.78,71,"17-10-91","Talavera de la Reina","Villarreal B","Villarreal","Spain",39.9603798,-4.8311717
15,"Manu Morlanes","ESP","M",1.78,75,"12-01-99","Zaragoza","Villarreal B","Villarreal","Spain",41.6521342,-0.8809428
16,"Xavi Quintillà","ESP","D",1.79,70,"23-08-96","Lleida","Barcelona B","Villarreal","Spain",41.6147605,0.6267842
17,"Paco Alcácer","ESP","F",1.75,71,"30-08-93","Torrent","Borussia Dortmund","Villarreal","Spain",39.436668,-0.4656213
18,"Alberto Moreno","ESP","D",1.71,65,"05-07-92","Seville","Liverpool","Villarreal","Spain",37.3886303,-5.9953403
19,"André-Frank Zambo Anguissa","CMR","M",1.84,74,"16-11-95","Yaoundé","Fulham","Villarreal","Spain",3.8689867,11.5213344
20,"Rubén Peña","ESP","D",1.7,65,"18-07-91","Ávila","Eibar","Villarreal","Spain",40.656478,-4.7002172
21,"Bruno","ESP","M",1.84,73,"12-06-84","Artana","Villarreal B","Villarreal","Spain",39.8911264,-0.2576603
22,"Sofian Chakla","MAR","D",1.88,78,"02-09-93","Kenitra","Melilla","Villarreal","Spain",34.26457,-6.570169
23,"Moi Gómez","ESP","M",1.74,65,"23-06-94","Rojales","Sporting Gijón","Villarreal","Spain",38.0871747,-0.7228213
24,"Javi Ontiveros","ESP","M",1.7,72,"09-09-97","Marbella","Málaga","Villarreal","Spain",36.508976,-4.88562
25,"Mariano Barbosa","ARG","G",1.88,79,"27-07-84","Lanús","Sevilla","Villarreal","Spain",43.6454126,-0.2241445
26,"Ramiro Guerra","URU","M",1.83,75,"21-03-97","Montevideo","Villarreal B","Villarreal","Spain",-34.9059039,-56.1913569
27,"Andrei Ratiu","ROU","D",1.83,74,"20-06-98","Aiud","Villarreal B","Villarreal","Spain",46.3108893,23.7188181
28,"Sergio Lozano","ESP","M",NA,NA,"24-03-99","Benimuslem","Villarreal B","Villarreal","Spain",39.1319694,-0.4923176
29,"Dani Villa","ESP","F",NA,NA,"01-02-98","Cártama","Villarreal B","Villarreal","Spain",36.7100716,-4.631539
30,"Iván Martín","ESP","M",1.78,70,"14-02-99","Bilbao","Villarreal B","Villarreal","Spain",43.2630051,-2.9349915
31,"","","",NA,NA,"","","","Villarreal","Spain",NA,NA
32,"Álex Baena","ESP","M",NA,NA,"20-07-01","Roquetas de Mar","Villarreal B","Villarreal","Spain",36.7630203,-2.6115886
33,"","","",NA,NA,"","","","Villarreal","Spain",NA,NA
34,"Fernando Niño","ESP","F",NA,NA,"24-10-00","Rota","Villarreal B","Villarreal","Spain",36.6228636,-6.3599595
35,"","","",NA,NA,"","","","Villarreal","Spain",NA,NA
36,"Migue Leal","ESP","D",1.76,68,"01-02-97","Villarreal","Villarreal B","Villarreal","Spain",10.3065364,-85.8035409
37,"","","",NA,NA,"","","","Villarreal","Spain",NA,NA
38,"","","",NA,NA,"","","","Villarreal","Spain",NA,NA
39,"","","",NA,NA,"","","","Villarreal","Spain",NA,NA
40,"","","",NA,NA,"","","","Villarreal","Spain",NA,NA
